"Block Name","Option","Value"
"slide_button_icon","Arrow Down","<i class=""fa fa-arrow-down""></i>"
"social_icon","Facebook","<i class=""fa fa-facebook-square""></i>"
"social_icon","Twitter","<i class=""fa fa-twitter-square""></i>"
"social_icon","LinkedIn","<i class=""fa fa-linkedin-square""></i>"
"social_icon","Youtube","<i class=""fa fa-youtube""></i>"
"icon","Cloud","<i class=""fa fa-cloud-upload fa-2x""></i> "
"icon","Line Chart","<i class=""fa fa-line-chart fa-2x""></i> "
"icon","Comment","<i class=""fa fa-commenting fa-2x""></i> "
"icon","Server","<i class=""fa fa-server fa-2x""></i> "
"feature_icon","Paint Brush","<i class=""fa fa-paint-brush fa-2x""></i> "
"feature_icon","Pencil","<i class=""fa fa-pencil fa-2x""></i> "
"feature_icon","Paper Plane","<i class=""fa fa-paper-plane-o fa-2x""></i> "
"feature_icon","Signal","<i class=""fa fa-signal fa-2x""></i>"
